title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Junior BE developer,"Notum Technologies, s.r.o.",https://junior.guru/jobs/e45b8e105340ec03235feeef276ac88f9102ac90dc339b15ab9b075a/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#e45b8e105340ec03235feeef276ac88f9102ac90dc339b15ab9b075a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part-time,full-time,,,,,,,,
Java vývojář/ka,Trisbee,https://junior.guru/jobs/50aab03a4a35b8004fee382acd1312f6148fbd29c57d561e326bb485/,True,2020-06-04,2020-07-22,,,juniorguru,juniorguru#50aab03a4a35b8004fee382acd1312f6148fbd29c57d561e326bb485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part-time,full-time,,,,,,,,
Frontend developer (centrum Brna),"Notum Technologies, s.r.o.",https://junior.guru/jobs/004b0303eb671bb3af4df868b0d4e95deb64d0e3c1f60eb4b1d87567/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#004b0303eb671bb3af4df868b0d4e95deb64d0e3c1f60eb4b1d87567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part-time,full-time,,,,,,,,
Programování aplikací pro virtuální realitu a tvorba 3D modelů,BotFactory s.r.o,https://junior.guru/jobs/7ee6af6710966092412357a62dbb618ee68d5106ed8944dd8189f1ef/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#7ee6af6710966092412357a62dbb618ee68d5106ed8944dd8189f1ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paid internship,part-time,unpaid internship,,,,,,,
VÝVOJ PWA+APP,HUREES GLOBAL,https://junior.guru/jobs/800bb5dc4484a9ce1441600416963211426913ad7cc7166831191317/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#800bb5dc4484a9ce1441600416963211426913ad7cc7166831191317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paid internship,part-time,volunteering,unpaid internship,,,,,,
Junior Ruby Developer,DEEP VISION s.r.o.,https://junior.guru/jobs/0f7daf25d6f6e1e55827928723eb8da4a24383cacf00a3a99bf407b5/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#0f7daf25d6f6e1e55827928723eb8da4a24383cacf00a3a99bf407b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paid internship,part-time,full-time,,,,,,,
Data Engineer,VŠB - Technická univerzita Ostrava,https://junior.guru/jobs/13c09f00dce5d1f24a00aa77559f0da99c15c9f682dd9059bfed8c58/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#13c09f00dce5d1f24a00aa77559f0da99c15c9f682dd9059bfed8c58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part-time,full-time,,,,,,,,
Software Engineer,Snyk,https://junior.guru/jobs/eab9db6d183329cb84fa816b7780e1a05b4210c135da7b3ffcc067b5/,False,2020-06-04,2020-07-22,,,juniorguru,juniorguru#eab9db6d183329cb84fa816b7780e1a05b4210c135da7b3ffcc067b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Customer Support,BizMachine,https://junior.guru/jobs/961c14e56fd08b6b71263327e95c673a2819d3661b75b398fc9e49c2/,False,2020-06-04,2020-06-28,,,juniorguru,juniorguru#961c14e56fd08b6b71263327e95c673a2819d3661b75b398fc9e49c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Vývojář aplikací - Python,"CZ.NIC, z. s. p. o.",https://junior.guru/jobs/b309e891a1b9e28e37325e394c366329498373cda2ebc0dd3f919cb2/,False,2020-06-04,2020-06-28,,,juniorguru,juniorguru#b309e891a1b9e28e37325e394c366329498373cda2ebc0dd3f919cb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part-time,full-time,,,,,,,,
